lambda,seed_index,pre_final_phase,post_phase,final_edges,final_components,final_largest,final_diameter,final_info,final_score,final_gap,bridges_added_total,stable_edge_count,stable_topology
0.06,8,sparse_geometric,sparse_geometric,5,1,6,4,0.23786273545068046,-0.06126074098399065,0.005355507576292297,0,True,True
0.06,9,fragmented_sparse,fragmented_sparse,1,5,2,,0.08120741704849474,-0.9788438746316006,0.0,0,True,True
0.06,10,sparse_geometric,sparse_geometric,5,1,6,4,0.271953593981901,-0.027070485416371123,0.005902441329957561,0,True,True
0.06,11,sparse_geometric,sparse_geometric,5,1,6,5,0.2875399058118025,-0.010851936263480744,0.009641870251986796,0,True,True
0.06,12,fragmented_sparse,fragmented_sparse,4,2,5,,0.0789394884313337,-0.4110696809842418,2.0381243706661363e-18,0,True,True
0.06,13,fragmented_sparse,fragmented_sparse,3,3,3,,0.030563932671786233,-0.6494380939514512,0.0,0,True,True
0.06,14,fragmented_sparse,fragmented_sparse,3,3,3,,0.19678559471523138,-0.48341587146704895,0.0,0,True,True
0.06,15,sparse_geometric,sparse_geometric,5,1,6,4,0.19661103460221568,-0.10097783679514524,0.013580734939368,0,True,True
0.06,16,fragmented_sparse,fragmented_sparse,3,3,4,,0.07098028791808839,-0.6090361405976188,-2.8817442878222405e-50,0,True,True
0.06,17,sparse_geometric,sparse_geometric,5,1,6,5,0.29585578753139996,-0.0028265286552858044,0.007919566808085983,0,True,True
0.06,18,sparse_geometric,sparse_geometric,5,1,6,4,0.5367981387973554,0.23812559383686016,0.011279307518488414,0,True,True
0.06,19,sparse_geometric,sparse_geometric,5,1,6,4,0.18142790623158866,-0.11856337468194432,0.00038532666243887927,0,True,True
0.08,0,fragmented_sparse,fragmented_sparse,4,2,5,,0.09715624675624333,-0.47285930671679355,1.883329584752525e-18,0,True,True
0.08,1,fragmented_sparse,fragmented_sparse,3,3,4,,0.08192113105873561,-0.658119511419404,0.0,0,True,True
0.08,2,sparse_geometric,sparse_geometric,5,1,6,4,0.3054352054351096,-0.09456860846395983,0.0012185410029949355,0,True,True
